topic number,topic ngram 1,topic ngram 2,topic ngram 3,topic ngram 4,topic ngram 5,topic ngram 6,topic ngram 7,topic ngram 8,topic ngram 9,topic ngram 10,topicId,count
57,joe rogan,dissolving illusions,stopped epidemic used wholesale,questions vaccines,epidemic used,read dissolving illusions questions,questions vaccines widely,rogan read,rogan read dissolving illusions,epidemic used wholesale,57,14
58,contaminated polio,contaminated polio vaccine,trust science,years just months aids,happened cdc just,human diseases years,iheartmindy fact,https qlin1kb2we new video,human diseases years just,https qlin1kb2we,58,14
59,globally big catch,disease polio eradication dr,catch cluster,vaccine preventable disease polio,catch cluster lead,preventable disease polio,disease polio,polio eradication dr kofi,polio eradication dr,disease polio eradication,59,14
60,dedicated providing vaccines low,dedicated providing vaccines,dedicated providing,alliance organization,alliance organization dedicated,alliance organization dedicated providing,organization dedicated providing,gavi vaccine alliance organization,providing vaccines,organization dedicated,60,14
61,second schedule,skip second schedule antigens,child skip,antigens oral polio vaccine,antigens oral,vaccine opv pneumococcal,antigens oral polio,vaccine opv pneumococcal conjugate,vaccine pcv,child skip second,61,14
62,young people media won,tell gates killed,gates india giving,india giving,media won tell gates,people media,gates india giving polio,gates killed,gates killed https,gates killed https 29e3qticrq,62,14
63,10 richest,10 richest people,richest people,10 richest people india,richest people india,net worth,source wealth,people india 2023,india 2023,years net worth,63,13
64,chip roy,different fkin wonderdrug,complete dick brains,complete dick brains polio,fkin wonderdrug,polio vaccine times,dick brains,fkin wonderdrug rt,complete dick,different fkin wonderdrug rt,64,13
65,covid turns,blue covid turns,hair blue covid turns,blue covid,hair blue,turns hair blue,turns hair,hair blue covid,turns hair blue covid,covid turns hair blue,65,13
66,inoculation zipline renowned drone,delivery company,zipline renowned,zipline renowned drone delivery,access vaccine inoculation zipline,vaccine inoculation zipline renowned,vaccine inoculation zipline,company supported,renowned drone delivery,drone delivery,66,13
67,science shows,safe pathetic dangerous scam,shows vaccines safe,shows fossil fuels,fuels warming planet denying,shows vaccines,fuels warming planet,https 1weboehpgu,bradleywhitford yes billmaher robertkennedyjr,bradleywhitford yes billmaher,67,11
68,need vaccine,lead cancer,start having,angel 2023 bbnaijaallstars,cruzveee hpv common,cruzveee hpv,common virus affect men,common virus affect,rt cruzveee,rt cruzveee hpv,68,11
69,animal testing,rt bambkb,read actually started animal,started animal testing,started animal,testing https,testing especially kids ve,testing especially kids,testing especially,covid vaccine seen vaccine,69,11
70,lafiyagi edu,2023 obr emir palace,lafiyagi edu lga children,lafiyagi edu lga,2023 obr emir,kwsphcda flag july 2023,kwsphcda flag july,kwsphcda flag,july 2023 obr emir,july 2023 obr,70,11
71,little anu,kavya says,bala nuhu,maaya says,dr bala nuhu,dr bala,anirudh says,katsina state,sound sultan,anupama says,71,11
